Jon Garland,SP,35.1,,,COL,TBD,-,,
Juan Rivera,LF,36.3,,,ARI,TBD,-,,
Jose Contreras,SP,42.9,,,TEX,TBD,-,,
Ty Wigginton,3B,37.1,,,MIA,TBD,-,,
Juan Francisco,1B,27.4,L,R,MIL,TBD,-,,
Frank Herrmann,RP,30.4,,,CLE,TBD,-,,
Hector Ambriz,RP,30.4,,,HOU,TBD,-,,
Michael Stutes,RP,28.2,,,PHI,TBD,-,,
Mat Gamel,1B,29.3,,,ATL,TBD,-,,
Chris Nelson,3B,29.2,R,R,LAA,TBD,-,,
Edgmer Escalona,RP,28.1,,,COL,TBD,-,,
Peter Moylan,RP,35.9,R,R,HOU,TBD,-,,
Clete Thomas,LF,31.0,,,PHI,TBD,-,,
Victor Marte,RP,34.0,,,STL,TBD,-,,
Jason Bourgeois,LF,32.8,R,R,TB,TBD,-,,
Alberto Gonzalez,SS,31.5,,,SD,TBD,-,,
Derrick Robinson,CF,27.1,,,CIN,TBD,-,,
Fernando Abad,RP,28.9,L,L,OAK,TBD,-,,
Matt Treanor,C,38.7,,,CLE,TBD,-,,
Justin Germano,RP,32.2,,,TOR,TBD,-,,
Dave Bush,SP,35.0,,,TOR,TBD,-,,
Gil Velazquez,3B,35.0,,,MIA,TBD,-,,
Kyle McClellan,RP,30.4,,,TEX,TBD,-,,
Ramon Ortiz,RP,41.4,,,TOR,TBD,-,,
Miguel Batista,SP,43.7,,,TOR,TBD,-,,
Nate Robertson,SP,37.2,,,TEX,TBD,-,,
Ronny Paulino,C,33.5,,,DET,TBD,-,,
Kelly Shoppach,C,34.5,,,CLE,TBD,-,,
Ryan Garko,1B,33.8,,,COL,TBD,-,,
Mike MacDougal,RP,37.7,,,LAD,TBD,-,,
Luis Rodriguez,SS,34.4,,,LAA,TBD,-,,
Ryan Langerhans,LF,34.7,,,TOR,TBD,-,,
Aaron Cook,SP,35.7,,,COL,TBD,-,,
Corey Patterson,RF,35.2,,,NYY,TBD,-,,
Rick Ankiel,CF,35.3,,,NYM,TBD,-,,
Scott Richmond,SP,35.2,,,TEX,TBD,-,,
Rafael Perez,RP,32.5,,,TEX,TBD,-,,
Billy Buckner,SP,36.3,,,LAA,TBD,-,,
Elvin Ramirez,SP,27.1,,,LAA,TBD,-,,
Edgar Gonzalez,RP,31.7,,,HOU,TBD,-,,
Jason Bartlett,SS,35.0,,,MIN,TBD,-,,
Matt Daley,RP,32.4,,,NYY,TBD,-,,
Mitch Maier,RF,32.3,,,CHC,TBD,-,,
Kyle McPherson,RP,27.0,,,PIT,TBD,-,,
Dontrelle Willis,SP,32.8,,,SF,TBD,-,,
Xavier Nady,1B,36.0,,,SD,TBD,-,,
Bobby Cassevah,RP,29.1,,,COL,TBD,-,,
Guillermo Mota,RP,41.3,,,SF,TBD,-,,
Grady Sizemore,RF,32.2,L,L,BOS,TBD,-,,
Chone Figgins,3B,36.8,,,LAD,TBD,-,,
Carlos Maldonado,C,35.8,,,WSH,TBD,-,,
Scott Olsen,SP,30.8,,,TEX,TBD,-,,
Alex Gonzalez,SS,37.7,,,DET,TBD,-,,
Brandon Lyon,RP,35.2,,,LAA,TBD,-,,
Tim Byrdak,RP,41.0,,,NYM,TBD,-,,
Jose Valverde,RP,36.6,,,NYM,TBD,-,,
Francisco Cordero,RP,39.5,,,BOS,TBD,-,,
Rich Thompson,RP,30.3,,,TB,TBD,-,,
Mike Zagurski,RP,31.8,,,NYY,TBD,-,,
Joel Pineiro,SP,36.1,,,LAA,TBD,-,,
Oscar Villarreal,RP,32.9,,,BOS,TBD,-,,
Travis Ishikawa,1B,31.1,L,L,PIT,TBD,-,,
Ernesto Mejia,1B,28.9,,,ATL,TBD,-,,
Josh Fields,3B,31.9,R,R,PHI,TBD,-,,
Orlando Calixte,SS,22.7,R,R,KC,TBD,-,,
George Sherrill,RP,37.5,,,KC,TBD,-,,
